Instance,Run,Algo,InitCost,FinalCost
chr12a,0,G,37220,15100
chr12a,0,S,50946,16166
chr12a,1,G,40152,15986
chr12a,1,S,56046,16690
chr12a,2,G,26984,14750
chr12a,2,S,46534,13156
chr12a,3,G,45368,13476
chr12a,3,S,46964,14494
chr12a,4,G,57264,17930
chr12a,4,S,32328,11248
chr12a,5,G,26710,12076
chr12a,5,S,54288,11592
chr12a,6,G,58336,10240
chr12a,6,S,50360,16378
chr12a,7,G,40690,17672
chr12a,7,S,40206,10214
chr12a,8,G,40944,16022
chr12a,8,S,51662,11926
chr12a,9,G,69864,12062
chr12a,9,S,61578,11198
chr12a,10,G,46174,13662
chr12a,10,S,50082,16488
chr12a,11,G,52486,13430
chr12a,11,S,58070,14928
chr12a,12,G,40588,10624
chr12a,12,S,34176,10782
chr12a,13,G,40250,11560
chr12a,13,S,42368,12444
chr12a,14,G,36058,12444
chr12a,14,S,45326,14260
chr12a,15,G,53766,11556
chr12a,15,S,50834,10096
chr12a,16,G,43824,14296
chr12a,16,S,36072,16652
chr12a,17,G,59834,16290
chr12a,17,S,37306,14444
chr12a,18,G,65794,11374
chr12a,18,S,40644,17272
chr12a,19,G,40720,15992
chr12a,19,S,43564,13242
chr12a,20,G,36286,16212
chr12a,20,S,60632,13156
chr12a,21,G,52608,14878
chr12a,21,S,47030,13680
chr12a,22,G,36050,16152
chr12a,22,S,52150,10624
chr12a,23,G,54924,24426
chr12a,23,S,47580,14934
chr12a,24,G,47222,20838
chr12a,24,S,52208,11678
chr12a,25,G,49462,17730
chr12a,25,S,42788,12036
chr12a,26,G,47710,14468
chr12a,26,S,33566,14032
chr12a,27,G,41266,14188
chr12a,27,S,28370,14272
chr12a,28,G,36560,11216
chr12a,28,S,30068,16506
chr12a,29,G,37286,10096
chr12a,29,S,43914,13322
chr12a,30,G,40462,12270
chr12a,30,S,55532,14876
chr12a,31,G,34176,17296
chr12a,31,S,32854,11010
chr12a,32,G,53420,11646
chr12a,32,S,51722,13726
chr12a,33,G,36994,11370
chr12a,33,S,51014,10096
chr12a,34,G,51142,14934
chr12a,34,S,56516,11838
chr12a,35,G,52814,13604
chr12a,35,S,44620,15282
chr12a,36,G,48182,13848
chr12a,36,S,43486,12174
chr12a,37,G,53306,12816
chr12a,37,S,35282,18352
chr12a,38,G,45626,12246
chr12a,38,S,41850,11418
chr12a,39,G,51528,13898
chr12a,39,S,36732,16788
chr12a,40,G,51196,18040
chr12a,40,S,42994,13476
chr12a,41,G,47474,15158
chr12a,41,S,47836,11560
chr12a,42,G,47640,16416
chr12a,42,S,36346,11688
chr12a,43,G,37962,12560
chr12a,43,S,57272,14658
chr12a,44,G,31810,10506
chr12a,44,S,36454,11592
chr12a,45,G,56748,13604
chr12a,45,S,43750,13238
chr12a,46,G,38176,11838
chr12a,46,S,45866,14158
chr12a,47,G,37482,15326
chr12a,47,S,31896,17064
chr12a,48,G,38854,13476
chr12a,48,S,54834,12968
chr12a,49,G,39922,9916
chr12a,49,S,44418,16828
chr12a,50,G,48040,9916
chr12a,50,S,31062,13798
chr12a,51,G,47736,13322
chr12a,51,S,36494,12538
chr12a,52,G,39112,10240
chr12a,52,S,42144,15924
chr12a,53,G,33772,13278
chr12a,53,S,45038,13194
chr12a,54,G,33390,15800
chr12a,54,S,56380,13240
chr12a,55,G,49672,16968
chr12a,55,S,40134,10688
chr12a,56,G,47388,15372
chr12a,56,S,47320,10214
chr12a,57,G,30812,17034
chr12a,57,S,49218,11668
chr12a,58,G,35198,13674
chr12a,58,S,38032,10476
chr12a,59,G,42860,16690
chr12a,59,S,40980,15990
chr12a,60,G,52344,12352
chr12a,60,S,38946,10580
chr12a,61,G,32876,21484
chr12a,61,S,40328,11248
chr12a,62,G,59446,16770
chr12a,62,S,44850,12096
chr12a,63,G,53400,16864
chr12a,63,S,65828,10096
chr12a,64,G,43466,13570
chr12a,64,S,33750,12392
chr12a,65,G,41834,13080
chr12a,65,S,73024,13080
chr12a,66,G,49164,13476
chr12a,66,S,40878,11302
chr12a,67,G,52746,11402
chr12a,67,S,52564,11946
chr12a,68,G,44836,15518
chr12a,68,S,42646,10192
chr12a,69,G,34164,12062
chr12a,69,S,34336,11514
chr12a,70,G,55164,20878
chr12a,70,S,53982,20116
chr12a,71,G,38132,14130
chr12a,71,S,33100,12818
chr12a,72,G,31292,13296
chr12a,72,S,41652,10506
chr12a,73,G,44094,17064
