Instance,Algo,OptCost,InitCost,FinalCost,TimeMS,Steps,Evals
chr12a,G,9552,48784,18594,0.02,17,350
chr12a,S,9552,57786,12304,0.02,5,396
chr12a,RS,9552,39586,20328,1.00,5363,5364
chr12a,RW,9552,50662,14126,1.00,12025,12025
chr15a,G,9896,66966,14692,0.04,16,607
chr15a,S,9896,53980,13866,0.07,9,1050
chr15a,RS,9896,82882,23248,1.00,3829,3830
chr15a,RW,9896,68222,23064,1.00,11042,11042
nug12,G,578,852,626,0.02,17,394
nug12,S,578,744,610,0.01,3,264
nug12,RS,578,784,644,1.00,2510,2511
nug12,RW,578,836,634,1.00,12217,12217
nug15,G,1150,1514,1232,0.04,16,558
nug15,S,1150,1548,1270,0.06,7,840
nug15,RS,1150,1506,1370,1.00,1901,1902
nug15,RW,1150,1608,1332,1.00,10673,10673
tai64c,G,1855928,2973430,1864444,2.68,37,10424
tai64c,S,1855928,2802858,1857646,3.70,8,18144
tai64c,RS,1855928,2580788,2172758,2.69,770,771
tai64c,RW,1855928,2925284,2117584,2.68,11536,11536
tai12a,G,224416,306454,247894,0.01,11,248
tai12a,S,224416,320584,241696,0.03,11,792
tai12a,RS,224416,302974,257098,1.00,5592,5593
tai12a,RW,224416,273514,253590,1.00,12492,12492
tai20a,G,703482,896458,742696,0.07,33,889
tai20a,S,703482,940400,759356,0.13,10,2090
tai20a,RS,703482,872136,814172,1.00,2578,2579
tai20a,RW,703482,897216,797868,1.00,9331,9331
tai256c,G,44759294,51761986,44959650,1305.47,292,1415205
tai256c,S,44759294,53770698,44907656,1473.20,45,1501440
tai256c,RS,44759294,53426020,49777328,1305.49,23170,23171
tai256c,RW,44759294,53284110,49813658,1305.47,890445,890445
