Instance,Algo,InitCost,FinalCost
chr12a,G,37220,15100
chr12a,S,50946,16166
chr12a,G,40152,15986
chr12a,S,56046,16690
chr12a,G,26984,14750
chr12a,S,46534,13156
chr12a,G,45368,13476
chr12a,S,46964,14494
chr12a,G,57264,17930
chr12a,S,32328,11248
chr12a,G,26710,12076
chr12a,S,54288,11592
chr12a,G,58336,10240
chr12a,S,50360,16378
chr12a,G,40690,17672
chr12a,S,40206,10214
chr12a,G,40944,16022
chr12a,S,51662,11926
chr12a,G,69864,12062
chr12a,S,61578,11198
chr12a,G,46174,13662
chr12a,S,50082,16488
chr12a,G,52486,13430
chr12a,S,58070,14928
chr12a,G,40588,10624
chr12a,S,34176,10782
chr12a,G,40250,11560
chr12a,S,42368,12444
chr12a,G,36058,12444
chr12a,S,45326,14260
chr12a,G,53766,11556
chr12a,S,50834,10096
chr12a,G,43824,14296
chr12a,S,36072,16652
chr12a,G,59834,16290
chr12a,S,37306,14444
chr12a,G,65794,11374
chr12a,S,40644,17272
chr12a,G,40720,15992
chr12a,S,43564,13242
chr12a,G,36286,16212
chr12a,S,60632,13156
chr12a,G,52608,14878
chr12a,S,47030,13680
chr12a,G,36050,16152
chr12a,S,52150,10624
chr12a,G,54924,24426
chr12a,S,47580,14934
chr12a,G,47222,20838
chr12a,S,52208,11678
chr12a,G,49462,17730
chr12a,S,42788,12036
chr12a,G,47710,14468
chr12a,S,33566,14032
chr12a,G,41266,14188
chr12a,S,28370,14272
chr12a,G,36560,11216
chr12a,S,30068,16506
chr12a,G,37286,10096
chr12a,S,43914,13322
chr12a,G,40462,12270
chr12a,S,55532,14876
chr12a,G,34176,17296
chr12a,S,32854,11010
chr12a,G,53420,11646
chr12a,S,51722,13726
chr12a,G,36994,11370
chr12a,S,51014,10096
chr12a,G,51142,14934
chr12a,S,56516,11838
chr12a,G,52814,13604
chr12a,S,44620,15282
chr12a,G,48182,13848
chr12a,S,43486,12174
chr12a,G,53306,12816
chr12a,S,35282,18352
chr12a,G,45626,12246
chr12a,S,41850,11418
chr12a,G,51528,13898
chr12a,S,36732,16788
chr12a,G,51196,18040
chr12a,S,42994,13476
chr12a,G,47474,15158
chr12a,S,47836,11560
chr12a,G,47640,16416
chr12a,S,36346,11688
chr12a,G,37962,12560
chr12a,S,57272,14658
chr12a,G,31810,10506
chr12a,S,36454,11592
chr12a,G,56748,13604
chr12a,S,43750,13238
chr12a,G,38176,11838
chr12a,S,45866,14158
chr12a,G,37482,15326
chr12a,S,31896,17064
chr12a,G,38854,13476
chr12a,S,54834,12968
chr12a,G,39922,9916
chr12a,S,44418,16828
chr12a,G,48040,9916
chr12a,S,31062,13798
chr12a,G,47736,13322
chr12a,S,36494,12538
chr12a,G,39112,10240
chr12a,S,42144,15924
chr12a,G,33772,13278
chr12a,S,45038,13194
chr12a,G,33390,15800
chr12a,S,56380,13240
chr12a,G,49672,16968
chr12a,S,40134,10688
chr12a,G,47388,15372
chr12a,S,47320,10214
chr12a,G,30812,17034
chr12a,S,49218,11668
chr12a,G,35198,13674
chr12a,S,38032,10476
chr12a,G,42860,16690
chr12a,S,40980,15990
chr12a,G,52344,12352
chr12a,S,38946,10580
chr12a,G,32876,21484
chr12a,S,40328,11248
chr12a,G,59446,16770
chr12a,S,44850,12096
chr12a,G,53400,16864
chr12a,S,65828,10096
chr12a,G,43466,13570
chr12a,S,33750,12392
chr12a,G,41834,13080
chr12a,S,73024,13080
chr12a,G,49164,13476
chr12a,S,40878,11302
chr12a,G,52746,11402
chr12a,S,52564,11946
chr12a,G,44836,15518
chr12a,S,42646,10192
chr12a,G,34164,12062
chr12a,S,34336,11514
chr12a,G,55164,20878
chr12a,S,53982,20116
chr12a,G,38132,14130
chr12a,S,33100,12818
chr12a,G,31292,13296
chr12a,S,41652,10506
chr12a,G,44094,17064
chr12a,S,51402,10624
chr12a,G,48044,20294
chr12a,S,51300,14006
chr12a,G,45638,12816
chr12a,S,54604,12018
chr12a,G,45544,15116
chr12a,S,43106,11402
chr12a,G,57434,13080
chr12a,S,47962,16458
chr12a,G,46874,15530
chr12a,S,42738,12850
chr12a,G,63878,17730
chr12a,S,41572,13380
chr12a,G,49442,14186
chr12a,S,34224,14086
chr12a,G,43776,15688
chr12a,S,30310,13182
chr12a,G,43026,10192
chr12a,S,43198,14512
chr12a,G,52878,13336
chr12a,S,30046,12968
chr12a,G,50856,17654
chr12a,S,49470,17570
chr12a,G,46608,12934
chr12a,S,41862,17160
chr12a,G,39738,15478
chr12a,S,50456,17024
chr12a,G,42238,11678
chr12a,S,48050,12560
chr12a,G,32162,13080
chr12a,S,42638,13002
chr12a,G,58028,13844
chr12a,S,51026,10804
chr12a,G,38148,21344
chr12a,S,39202,18704
chr12a,G,43442,13628
chr12a,S,48100,10782
chr12a,G,52986,13898
chr12a,S,42310,15002
chr12a,G,45268,13612
chr12a,S,45684,12850
chr12a,G,29414,14280
chr12a,S,37490,10804
chr12a,G,48432,16988
chr12a,S,43830,13430
chr12a,G,50768,13476
chr12a,S,40400,14468
chr12a,G,44340,11198
chr12a,S,53766,17024
chr12a,G,43518,15744
chr12a,S,30936,12576
chr12a,G,40960,15012
chr12a,S,48354,14158
chr12a,G,48542,16652
chr12a,S,39732,18898
chr12a,G,47224,16582
chr12a,S,51248,15586
chr12a,G,42670,15320
chr12a,S,47140,11248
chr12a,G,65688,13002
chr12a,S,37754,16110
chr12a,G,44814,12816
chr12a,S,33534,10192
chr12a,G,41992,18166
chr12a,S,53148,12836
chr12a,G,46002,12974
chr12a,S,37312,15280
chr12a,G,45382,18274
chr12a,S,53072,12062
chr12a,G,42438,11216
chr12a,S,27824,12300
chr12a,G,37068,11754
chr12a,S,40326,18076
chr12a,G,35350,14388
chr12a,S,60226,12820
