Instance,QualityGap,SimToOpt,SimToOther
chr12a,-100.0105,0.1667,0.1103
chr12a,-100.0105,0.0833,0.1305
chr12a,-100.0105,0.1667,0.1103
chr12a,-100.0105,0.0000,0.0766
chr12a,-100.0105,0.0000,0.0800
chr12a,-100.0105,0.0000,0.1195
chr12a,-100.0105,0.0833,0.1145
chr12a,-100.0105,0.0000,0.0783
chr12a,-100.0105,0.6667,0.1591
chr12a,-100.0105,0.1667,0.1380
chr12a,-100.0105,0.0833,0.1010
chr12a,-100.0105,0.0000,0.1582
chr12a,-100.0105,0.0000,0.1423
chr12a,-100.0105,0.0000,0.1549
chr12a,-100.0105,0.1667,0.1338
chr12a,-100.0105,0.1667,0.1709
chr12a,-100.0105,0.0833,0.1153
chr12a,-100.0105,0.0833,0.0951
chr12a,-100.0105,0.0833,0.1178
chr12a,-100.0105,0.0000,0.1246
chr12a,-100.0105,0.1667,0.1709
chr12a,-100.0105,0.5000,0.1162
chr12a,-100.0105,0.0833,0.1355
chr12a,-100.0105,0.1667,0.1288
chr12a,-100.0105,0.1667,0.1279
chr12a,-100.0105,0.0833,0.1086
chr12a,-100.0105,0.0000,0.0934
chr12a,-100.0105,0.5000,0.1423
chr12a,-100.0105,0.0833,0.0934
chr12a,-100.0105,0.0833,0.1237
chr12a,-100.0105,0.1667,0.0968
chr12a,-100.0105,0.0000,0.1372
chr12a,-100.0105,0.0000,0.1296
chr12a,-100.0105,0.0833,0.0934
chr12a,-100.0105,0.0000,0.1019
chr12a,-100.0105,0.0000,0.1162
chr12a,-100.0105,0.0833,0.1221
chr12a,-100.0105,0.0000,0.1465
chr12a,-100.0105,0.0833,0.1120
chr12a,-100.0105,0.0000,0.1019
chr12a,-100.0105,0.4167,0.1271
chr12a,-100.0105,0.1667,0.1094
chr12a,-100.0105,0.3333,0.1010
chr12a,-100.0105,0.0000,0.1549
chr12a,-100.0105,0.0000,0.1431
chr12a,-100.0105,0.3333,0.1364
chr12a,-100.0105,0.1667,0.1035
chr12a,-100.0105,0.0000,0.0993
chr12a,-100.0105,0.0000,0.1633
chr12a,-100.0105,0.1667,0.1465
chr12a,-100.0105,0.0000,0.1170
chr12a,-100.0105,0.1667,0.0842
chr12a,-100.0105,0.0000,0.1507
chr12a,-100.0105,0.0000,0.1667
chr12a,-100.0105,0.6667,0.1338
chr12a,-100.0105,0.0000,0.1372
chr12a,-100.0105,0.0000,0.1423
chr12a,-100.0105,0.2500,0.1178
chr12a,-100.0105,0.0000,0.1582
chr12a,-100.0105,0.0000,0.0918
chr12a,-100.0105,0.2500,0.1178
chr12a,-100.0105,0.1667,0.0850
chr12a,-100.0105,0.3333,0.1221
chr12a,-100.0105,0.0000,0.1254
chr12a,-100.0105,0.0000,0.1448
chr12a,-100.0105,0.0000,0.0909
chr12a,-100.0105,0.1667,0.1035
chr12a,-100.0105,0.3333,0.1397
chr12a,-100.0105,1.0000,0.1271
chr12a,-100.0105,0.0833,0.1700
chr12a,-100.0105,0.3333,0.1481
chr12a,-100.0105,0.3333,0.1566
chr12a,-100.0105,0.0833,0.1305
chr12a,-100.0105,0.0000,0.1465
chr12a,-100.0105,0.3333,0.1195
chr12a,-100.0105,0.3333,0.1279
chr12a,-100.0105,0.0000,0.1120
chr12a,-100.0105,0.3333,0.1364
chr12a,-100.0105,0.0000,0.1456
chr12a,-100.0105,0.0833,0.0867
chr12a,-100.0105,0.0000,0.1162
chr12a,-100.0105,0.0000,0.1128
chr12a,-100.0105,0.2500,0.0976
chr12a,-100.0105,0.3333,0.1061
chr12a,-100.0105,0.2500,0.1077
chr12a,-100.0105,0.0833,0.1237
chr12a,-100.0105,0.5000,0.1288
chr12a,-100.0105,0.0000,0.1347
chr12a,-100.0105,0.0833,0.1195
chr12a,-100.0105,0.0833,0.1364
chr12a,-100.0105,0.0833,0.0960
chr12a,-100.0105,0.0000,0.1582
chr12a,-100.0105,0.0833,0.1414
chr12a,-100.0105,0.3333,0.1397
chr12a,-100.0105,0.0000,0.0741
chr12a,-100.0105,0.0833,0.1019
chr12a,-100.0105,0.1667,0.1709
chr12a,-100.0105,0.0833,0.0825
chr12a,-100.0105,0.0000,0.1448
chr12a,-100.0105,0.0833,0.0976
chr15a,-100.0101,0.0000,0.0835
chr15a,-100.0101,0.0000,0.0929
chr15a,-100.0101,0.0667,0.0943
chr15a,-100.0101,0.1333,0.0815
chr15a,-100.0101,0.0667,0.1185
chr15a,-100.0101,0.2667,0.0997
chr15a,-100.0101,0.0667,0.1125
chr15a,-100.0101,0.0667,0.1118
chr15a,-100.0101,0.1333,0.1232
chr15a,-100.0101,0.5333,0.0997
chr15a,-100.0101,0.0667,0.0909
chr15a,-100.0101,0.0000,0.0956
chr15a,-100.0101,0.0667,0.1024
chr15a,-100.0101,0.0667,0.0640
chr15a,-100.0101,0.2667,0.1003
chr15a,-100.0101,0.0000,0.0774
chr15a,-100.0101,0.0000,0.0976
chr15a,-100.0101,0.0000,0.0875
chr15a,-100.0101,0.0667,0.0747
chr15a,-100.0101,0.2000,0.1111
chr15a,-100.0101,0.1333,0.1138
chr15a,-100.0101,0.1333,0.0902
chr15a,-100.0101,0.2667,0.1057
chr15a,-100.0101,0.3333,0.1051
chr15a,-100.0101,0.0667,0.1098
chr15a,-100.0101,0.2667,0.1300
chr15a,-100.0101,0.0000,0.0923
chr15a,-100.0101,0.1333,0.1064
chr15a,-100.0101,0.0667,0.0929
chr15a,-100.0101,0.0667,0.1003
chr15a,-100.0101,0.0000,0.1145
chr15a,-100.0101,0.2667,0.1051
chr15a,-100.0101,0.0667,0.1111
chr15a,-100.0101,0.0667,0.0923
